Time,EcoName,NumActiveSites,AboveGroundBiomass_AbieConc,AboveGroundBiomass_AbieLasi,AboveGroundBiomass_JuniOste,AboveGroundBiomass_PiceEnge,AboveGroundBiomass_PicePung,AboveGroundBiomass_PinuPond,AboveGroundBiomass_PinuEdul,AboveGroundBiomass_PopuTrem,AboveGroundBiomass_PseuMenz,AboveGroundBiomass_QuerGamb,
0, Clay3, 34975, 227.653152251608, 0, 627.647176554682, 1.25729807005004, 0.775067905646891, 9644.15319513938, 7.91593995711222, 65.1517941386705, 195.651208005718, 3678.88174410293, 
0, Clay2, 89356, 45.4335690944089, 0, 976.339283316173, 6.32687228613635, 3.74368816867362, 7391.99690004029, 204.989200501365, 25.0343345718251, 74.3218474416939, 1726.76168360267, 
0, Clay1, 10490, 2.38884652049571, 0, 1039.12840800763, 0, 0, 6589.29914204004, 1538.3, 0.99256434699714, 19.2939942802669, 2089.81477597712, 
0, ClayLoam3, 35439, 929.716526990039, 41.8169530742967, 396.039645588194, 1.14867801010187, 0.436524732639183, 10081.4554586755, 43.9425209514941, 440.112503174469, 714.336211518384, 3292.27235531477, 
0, ClayLoam2, 67166, 73.6635500104219, 0, 451.158353929071, 7.50452609951464, 2.4217163445791, 6655.53661078522, 107.659411011524, 53.2061310782241, 140.128413185243, 1436.3326980913, 
0, ClayLoam1, 4459, 2.25880242206773, 0, 2451.67930029155, 0, 0, 5689.88360618973, 2649.44494281229, 4.05539358600583, 34.4393361740301, 1461.65777080063, 
0, ClayLoam4, 1586, 1793.14501891551, 1200.89911727617, 125.890920554855, 108.404791929382, 1.89911727616646, 7153.51891551072, 134.366960907945, 3055.53026481715, 6627.93631778058, 437.892812105927, 
0, Sands3, 22943, 1338.51680251057, 471.661814060934, 196.779366255503, 99.7704746545787, 0.75744235714597, 10205.6972932921, 251.825654883843, 1031.14823693501, 2272.62031992329, 2150.79401124526, 
0, Sands2, 21735, 478.370002300437, 0, 407.860087416609, 25.3131815044859, 19.2129284564067, 7001.6791810444, 277.747780078215, 254.289164941339, 771.751966873706, 1188.70057510927, 
0, Sands1, 27903, 132.124144357238, 0.157044045443142, 706.168333154141, 1.00132602229151, 0.122925850266996, 6015.35548148945, 1040.99784969358, 82.7388811238935, 60.7233989176791, 523.29602551697, 
0, Sands4, 7168, 842.607003348214, 10547.0567801339, 524.017159598214, 1835.01534598214, 21.9712611607143, 1940.61551339286, 641.828543526786, 4841.25027901786, 3612.8876953125, 225.998046875, 
0, Shallow3, 25924, 112.997492670884, 0, 746.51971146428, 0, 0.464743095201358, 9575.06476623978, 17.2795093349792, 83.4966440364141, 102.923275729054, 3723.71744329579, 
0, Shallow2, 26415, 75.1948514101836, 0, 995.859700927503, 51.4716638273708, 3.02078364565588, 7340.80480787431, 118.27461669506, 31.2787052810903, 72.6056785917092, 1985.11978042779, 
0, Shallow1, 10612, 32.1266490765171, 10.3232189973615, 892.660572936299, 65.8217112702601, 8.08047493403694, 6558.0672823219, 1833.47521673577, 33.3904070863174, 148.529306445533, 2173.60978137957, 
0, none, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, Clay3, 34975, 223.480257326662, 0, 625.349735525375, 1.23087919942816, 0.759628305932809, 9761.0755968549, 7.93103645461044, 47.2110650464618, 193.567462473195, 1255.82304503217, 
1, Clay2, 89356, 45.0900443171136, 0, 980.243240521062, 6.18283047584941, 3.66318993688169, 7509.92670889476, 204.981635256726, 18.7365034245042, 74.8040086843637, 696.05840682215, 
1, Clay1, 10490, 2.436987607245, 0, 1030.54652049571, 0, 0, 6686.80095328885, 1520.46777883699, 0.934795042897998, 19.5246901811249, 1123.29590085796, 
1, ClayLoam3, 35439, 908.83659245464, 40.9778210446119, 394.004147972573, 1.1216456446288, 0.430147577527583, 10176.597166963, 43.0605547560597, 335.035779790626, 705.845847794802, 1106.30350743531, 
1, ClayLoam2, 67166, 72.2612929160587, 0, 451.867343596462, 7.33327874222077, 2.3696364231903, 6721.96245124021, 107.310990679808, 42.3566536640562, 140.572581365572, 481.787615757973, 
1, ClayLoam1, 4459, 2.21394931599013, 0, 2431.37743888764, 0, 0, 5693.50527023996, 2616.57995066158, 2.31083202511774, 34.633550123346, 701.489347387307, 
1, ClayLoam4, 1586, 1740.29571248424, 1172.81147540984, 126.368221941992, 105.699873896595, 1.86128625472888, 7112.75662042875, 132.653215636822, 2271.70491803279, 6525.57187894073, 192.268600252207, 
1, Sands3, 22943, 1311.06812535414, 461.145055136643, 195.901756527045, 96.8011593950225, 0.794359935492307, 10118.6932833544, 249.713550974153, 835.174301529878, 2251.46611166805, 618.584274070523, 
1, Sands2, 21735, 467.769634230504, 0, 408.859213250518, 24.7343915343915, 18.4976765585461, 7120.4038647343, 277.42493673798, 217.399953991258, 767.690453186105, 494.842558086036, 
1, Sands1, 27903, 128.913055943805, 0.153388524531412, 704.149374619217, 0.974518868938824, 0.119987098161488, 6124.57377342938, 1035.72888219905, 78.0471992258897, 59.7621761100957, 245.912840913163, 
1, Sands4, 7168, 816.546735491071, 10299.9878627232, 535.435407366071, 1784.97935267857, 21.5782645089286, 1926.88881138393, 636.310965401786, 3540.10881696429, 3545.02790178571, 84.2945033482143, 
1, Shallow3, 25924, 111.823985496065, 0, 746.544746181145, 0, 0.455793858972381, 9767.18099058787, 17.5713624440673, 64.2547446381731, 101.736884740009, 1321.32055238389, 
1, Shallow2, 26415, 74.2785917092561, 0, 1003.47514669695, 50.3008896460344, 2.95680484573159, 7352.72568616316, 118.075828127958, 28.2082150293394, 73.0544387658527, 805.43573727049, 
1, Shallow1, 10612, 31.9332830757633, 10.0829249905767, 890.873539389371, 64.0642668676969, 7.88729739917075, 6730.31520919714, 1816.11194873728, 29.8228420655861, 145.557199396909, 1281.65001884659, 
1, none, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
